[Applicazione avviata in modalità normale] [EVENT]:  	
[00:00] [INFO]:  	Device cycle installato, ID: 11, consumo: 0.500000KW, durataCiclo: 120h, isOn: 1
[02:00] [EVENT]:  	cycle spento
[03:00] [INFO]:  	Orario aggiornato a 03:00
[00:00] [INFO]:  	Orario resettato a 0
[02:00] [EVENT]:  	cycle spento
[03:00] [INFO]:  	Orario aggiornato a 03:00
[03:00] [INFO]:  	Stato dei devices mostrato
[00:00] [INFO]:  	Reset del sistema effettuato
[00:00] [INFO]:  	Stato dei devices mostrato
[02:00] [EVENT]:  	cycle spento
[03:00] [INFO]:  	Orario aggiornato a 03:00
[00:00] [INFO]:  	Orario resettato a 0
[00:00] [INFO]:  	Stato dei devices mostrato
[02:00] [EVENT]:  	cycle spento
[03:00] [INFO]:  	Orario aggiornato a 03:00
[03:00] [INFO]:  	Stato dei devices mostrato
[03:00] [INFO]:  	Device on installato, ID: 12, consumo: 1.000000KW, autoTurnOff: 0, isOn: 1
[03:00] [INFO]:  	Stato dei devices mostrato
[00:00] [INFO]:  	Reset del sistema effettuato
[00:00] [INFO]:  	Stato dei devices mostrato
[02:00] [EVENT]:  	cycle spento
[03:00] [INFO]:  	Orario aggiornato a 03:00
[03:00] [INFO]:  	Stato dei devices mostrato
[03:00] [INFO]:  	Device off installato, ID: 13, consumo: 1.000000KW, autoTurnOff: 0, isOn: 0
[03:00] [INFO]:  	Stato dei devices mostrato
[00:00] [INFO]:  	Reset del sistema effettuato
[00:00] [INFO]:  	Stato dei devices mostrato
[02:00] [EVENT]:  	cycle spento
[03:00] [INFO]:  	Orario aggiornato a 03:00
[03:00] [INFO]:  	Stato dei devices mostrato
[03:00] [INFO]:  	Ricerca ID per nome off
[03:00] [EVENT]:  	off acceso
[03:00] [INFO]:  	Stato dei devices mostrato
[05:00] [INFO]:  	Orario aggiornato a 05:00
[05:00] [INFO]:  	Stato dei devices mostrato
[00:00] [INFO]:  	Reset del sistema effettuato
[00:00] [INFO]:  	Stato dei devices mostrato
